tconst,primaryTitle,startYear,genres,lead_actors_ids,runtimeMinutes,averageRating,Language,Country,numVotes,budget,BoxOffice,plot
tt0277615,Bug,2002.0,['Comedy'],"['nm0002253', 'nm0014961', 'nm0381416', 'nm0203079', 'nm0004051']",86.0,7.1,English,United States,1209.0,,,"A young boy steps on a bug, killing it. A man getting into his car witnesses the senseless murder and crosses the street to chastise the boy. In the extra minute this takes, his parking meter expires and a meter maid is right there to issue a ticket. The now angry man throws the ticket into the storm drain. The ticket clogs a pipe, causing water damage elsewhere. This series of cause-and-effect chain reactions propels an eclectic group of individuals in Silver Lake, Los Angeles , to a common destiny."
tt0277768,Boys?,1996.0,['Romance'],"['nm0150987', 'nm0155588', 'nm0158660', 'nm0504934', 'nm1319688']",91.0,5.7,,,13.0,,,
tt0278362,Bob Marley and the Wailers: The Bob Marley Story,1984.0,"['Biography', 'Documentary', 'Music']",[],100.0,8.2,,,65.0,,,
tt0278368,Boran,2001.0,"['Crime', 'Drama', 'Thriller']","['nm0352278', 'nm0406099', 'nm0476011']",99.0,7.2,,,42.0,,,
tt0278422,Buttleman,2003.0,['Comedy'],"['nm0370035', 'nm0266198', 'nm0144657', 'nm0022323', 'nm0403812']",94.0,5.6,English,United States,187.0,,,"Harold Buttleman, Daredevil Stuntman (also known as Buttleman ) is a 2003 film written and directed by Francis Stokes ; the only movie he has directed. It won the Jury Prize at the Deep Ellum Film Festival in 2003.  It was awarded the audience award in the Had to Be Made Film Festival in 2005. The film is a comedy about a small town tuxedo salesman who thinks he's the next Evel Knievel , a renowned American stunt man. It stars John Hawkes as Harold Buttleman, and co-stars Karen Black and Dan Castellaneta ."
tt0278987,Bozí mlýny,1929.0,['Drama'],"['nm0871639', 'nm0817581', 'nm0835336', 'nm0295924', 'nm0221123']",110.0,,,,,,,
tt0278989,Brutal,1980.0,['Drama'],"['nm0407572', 'nm0303849', 'nm0216975', 'nm0623312', 'nm0867291']",105.0,6.5,Filipino,Philippines,169.0,,,"Housewife Monica Real is arrested for killing three men, including her husband, Tato. Clara Valdez is a journalist searching for the truth about why Monica was driven to kill them and remain silent by refusing to speak to her family and her lawyer. With the help of her boyfriend, Jake, Clara seeks information from Monica's best friend, Cynthia, and Monica's mother to find answers."
tt0279699,Bond of Fear,1956.0,"['Crime', 'Drama']","['nm0909614', 'nm0171475', 'nm0667618', 'nm0534077', 'nm0164050']",66.0,6.0,English,United Kingdom,198.0,,,"Bond of Fear is a 1956 British 'B' [ 1 ] crime drama film directed by Henry Cass and starring Dermot Walsh , Jane Barrett , and John Colicos . [ 2 ] [ 3 ] [ 4 ] The screenplay was by John Gilling and Norman Hudis ."
tt0279701,Bosver Arkadas,1974.0,"['Drama', 'Romance']","['nm0015081', 'nm0767945', 'nm0951019', 'nm0095934', 'nm0959873']",84.0,6.6,,,576.0,,,
tt0279709,Budget Padmanabham,2001.0,"['Comedy', 'Drama']","['nm0045075', 'nm0030060', 'nm0080238', 'nm0478353', 'nm0707723']",151.0,5.6,Telugu,India,151.0,,,"Budget Padmanabham is a man of wit who makes sense of accurate assessment. Looking at his eccentricity, all assume he is a skinflint, but it has a meaning. In his childhood,  a loan shark, Vaddila Reddy, drives out Padmanabham from his beloved house after the death of his parents. The court has stipulated a period for paying back the debt. Thus, he is securing every single penny to retrieve his house. Padmanabham is a senior employee in a private form; his spendthrift colleague Ramya aspires to knit him to have counteracted in life. Though Padmanabham rejects foremost with the clue to repay the debt quickly with the double income, he accepts the proposal. On a basis, Ramya should hand over the total salary and have no kids until he clears the loan. Ramya agrees to it, and they are nuptial. Soon after the troubles begin, his means collapse with the pilling of his cousin Vijaya and brother-in-law Totti Subramanyam, including Ramya's loaf brother Ravi. Time worsens when Ramya conceives and gives birth to triplet boys. Now Ramya is disquieted about the children and decides to resign. Here, Padmanabham sorts out the issue by hiring a maid, Sonali. Ramya is in two minds as Sonali's whereabouts are unknown, and her tightness with Padmanabham. After a while, Sonali is pregnant when Ramya's conjecture turns into reality, and she rebukes. Padmanabham attempts to convince her and seek the truth, but in vain. At that time, he detects Anil, his boss Jaganatha Rao's son, is Sonali's spouse. Then, Anil divulges that he loved & wedded Sonali in his college days. Knowing it, his father conspired to slay her and took shelter at Padmanabham. Presently, Anil requests him to provide a haven for Sonali for some days. Additionally, he brings a word to be quiet, as Ramya will not conceal anything from Jaganatha Rao. As a result, a cleft rises when Ramya loathes him. Despite this, Padmanabham toils and accumulates the amount. He moves to Ramya in that joy, which she denies to accompany him."
